;centroid
0;100,0
1;0,0
2;73,10701517904239
3;100,0
4;0,0
5;0,0
6;100,0
7;0,0
8;100,0
9;0,0
10;0,0
11;100,0
12;100,0
13;0,0
14;0,0
15;0,0
16;100,0
17;0,0
18;89,42290016761675
19;0,0
20;100,0
21;100,0
22;0,0
23;0,0
24;0,0
25;0,0
26;0,0
27;64,49154945601684
28;100,0
29;100,0
30;0,0
31;49,8137058872032
32;100,0
33;0,0
34;100,0
35;100,0
36;0,0
37;100,0
38;83,27956989247318
39;70,81113620866009
40;100,0
41;95,11289301540401
42;0,0
43;100,0
44;100,0
45;0,0
46;100,0
47;0,0
48;0,0
49;100,0
50;34,844054580896625
51;0,0
52;19,989221022349298
53;47,0419074511865
54;79,39890710382512
55;0,0
56;0,0
57;0,0
58;100,0
59;92,18794455960644
60;100,0
61;0,0
62;93,32579185520353
63;0,0
64;0,0
65;0,0
66;100,0
67;100,0
68;33,96791807222644
69;0,0
70;100,0
71;100,0
72;0,0
73;100,0
74;100,0
75;0,0
76;0,0
77;0,0
78;0,0
79;0,0
80;33,02438003159325
81;100,0
82;100,0
83;100,0
84;0,0
85;98,29585876918001
86;0,0
87;0,0
88;0,0
89;100,0
90;0,0
91;0,0
92;100,0
93;0,0
94;0,0
95;100,0
96;100,0
97;0,0
98;100,0
99;0,0
100;4,475763151069117
101;100,0
102;0,0
103;100,0
104;0,0
105;86,82831512567704
106;100,0
107;100,0
108;0,0
109;100,0
110;0,0
111;100,0
112;100,0
113;0,0
114;100,0
115;100,0
116;100,0
117;0,0
118;100,0
119;100,0
120;100,0
121;26,6294380115517
122;100,0
123;0,0
124;0,0
125;99,60899315738017
126;100,0
127;38,284471664915806
128;0,0
129;100,0
130;0,0
131;0,0
132;100,0
133;0,0
134;0,0
135;0,0
136;0,0
137;0,0
138;55,55143037288055
139;0,0
140;78,85963636363635
141;59,641351361883075
142;100,0
143;71,71304274607743
144;100,0
145;46,73520923520942
146;0,0
147;100,0
148;0,0
149;39,33588761174958
150;0,0
151;0,0
152;100,0
153;0,0
154;0,0
155;100,0
156;0,0
157;100,0
158;0,0
159;100,0
160;0,0
161;0,0
162;0,0
163;0,0
164;100,0
165;100,0
166;0,0
167;100,0
168;81,59827797565636
169;0,0
170;100,0
171;100,0
172;0,0
173;0,0
174;100,0
175;0,0
176;100,0
177;42,6731378815008
178;0,0
179;35,663415055248606
180;40,84086530332146
181;100,0
182;81,21459140004086
183;0,0
184;100,0
185;100,0
186;60,01924260244158
187;0,0
188;100,0
189;100,0
190;100,0
191;71,24293785310734
192;0,0
193;0,0
194;0,0
195;0,0
196;0,0
197;0,0
198;0,0
199;0,0
200;51,676540624282794
201;100,0
202;100,0
203;0,0
204;27,559871495327258
205;0,0
206;0,0
207;0,0
208;10,659740259740119
209;0,0
210;100,0
211;49,978232681363664
212;60,7021078735276
